phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6555613,https://www.momos-ambachtelijkeijs.nl/https/35.180.20.1683310/sucursalpersonas.transaccionesbancolombia.com/mua/,http://www.phishtank.com/phish_detail.php?phish_id=6555613,2020-05-09T02:02:37+00:00,yes,2020-05-09T02:07:51+00:00,yes,Other
5957208,http://623112j4j3.codesandbox.io/IlOysTgNjFrGtHtEAwVo/index.php,http://www.phishtank.com/phish_detail.php?phish_id=5957208,2019-03-05T11:15:13+00:00,yes,2019-03-15T07:18:26+00:00,yes,Other
6537214,http://airmaxzoomturkey.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6537214,2020-04-29T14:58:16+00:00,yes,2020-04-29T14:59:33+00:00,yes,Other
6496943,http://betasus21.blogspot.com,http://www.phishtank.com/phish_detail.php?phish_id=6496943,2020-04-10T08:22:26+00:00,yes,2020-04-10T08:54:51+00:00,yes,Other
6541414,https://welovebellsouthandswbell.weebly.com,http://www.phishtank.com/phish_detail.php?phish_id=6541414,2020-05-01T14:57:37+00:00,yes,2020-05-01T14:58:41+00:00,yes,Other
6478066,http://fast-joingroup1.itsaol.com/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6478066,2020-03-31T11:04:33+00:00,yes,2020-03-31T11:17:33+00:00,yes,Other
6514232,http://christiantidings.com/moved/pdf/onedrivelogon.php,http://www.phishtank.com/phish_detail.php?phish_id=6514232,2020-04-19T02:00:48+00:00,yes,2020-04-19T11:33:28+00:00,yes,Other
6473109,http://zohard.com/.well-known/pki-validation/mod/unblockverification/customer_center/customer-IDPP00C963/signin/signin.php?cmd=_update-information&amp;account_update=d5a769839775bfbdc8e0501012a1e526&amp;lim_session=d43c91a05179fe6def53ff76af3a5e2f0a7e6735,http://www.phishtank.com/phish_detail.php?phish_id=6473109,2020-03-28T01:00:47+00:00,yes,2020-03-28T01:02:14+00:00,yes,Other
6314556,http://www.financialone.com.hk/joomla/templates/theme125/images/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6314556,2019-12-10T08:00:28+00:00,yes,2019-12-10T08:02:30+00:00,yes,Other
6222448,http://phreshphoto.com/Parppea/ourtime123/ourtime.php,http://www.phishtank.com/phish_detail.php?phish_id=6222448,2019-10-02T14:07:30+00:00,yes,2019-10-24T20:13:36+00:00,yes,Other
